"Name"|"Color"|"Mana Cost"|"MV"|"Oracle Text"|"Type"|"Subtype"|"Expend Value"|"ATK"|""|""|""|""
"Grass"|"Green"|"G"|"1"|"[Enters] gain 2 life "|"Summon"|"Plant"|"G"|"0"|""|"0"|"0"|"1"
"Red Advantage Engine"|"Red"|"3R"|"4"|"As an additional cost to play this card, aetherize a card from your hand. [Main] draw two cards then discard a card at random "|"Summon"|"Construct"|"R"|""|""|"3"|"1"|"2"
"Obstinate Familiar"|"Red"|"1R"|"2"|"If you would draw a card, you may instead not. "|"Summon"|"Familiar"|"R"|""|""|"1"|"1"|"2"
"Eff Off Dragon Buddy"|"Red"|"4RRRR"|"8"|"ATK 2. If a source you control would deal damage, deal 2 more damage instead."|"Summon"|"Familiar"|"R"|"2"|""|"4"|"1"|"5"
"Ballad of Flame"|"Red"|"1RR"|"3"|"Fragile 3. [Action] deal 2 damage to any target."|"Summon"|"Song Flame"|"R"|""|""|"1"|"1"|"3"
"Sadist"|"Red"|"2R"|"3"|"Whenever you deal damage to your opponent for the first time each turn, draw a card. "|"Summon"|""|"R"|""|""|"2"|"1"|"2"
"Odd Cheerleader"|"Red"|"2R"|""|"Whenever you play your oddth spell each turn, you get R"|"Summon"|"Minion"|"R"|""|""|""|""|""
"Mean Kitty"|"Red"|"1RR"|""|"ATK 2"|"Summon"|"Familiar Cat"|"R"|""|""|""|""|""
"Paranoid Puppy"|"White"|"W"|"1"|"When you discard a card, you may put that card to the bottom of your deck instead."|"Summon"|"Familar"|"W"|"0"|""|"0"|"0"|"1"
"Axolotl Friend"|"White"|"1W"|"2"|"[Action] gain 1 life for each card in your storage."|"Summon"|"Familiar"|"W"|"0"|""|"1"|"1"|"2"
"Lifeforce Protector"|"White"|"2WW"|""|"The first time you would deal damage to yourself each turn, don't instead"|"Summon"|""|"W"|""|""|""|""|""
"Balmer"|"White"|"1WW"|""|"If you would deal 2 or more damage to yourself, deal 1 less instead"|"Summon"|""|"W"|""|""|""|""|""
"Astral Slime"|"U/G"|"UG"|""|"[Enters] destroy a permanent with cost less than 5"|"Summon"|"Arcane Slimey Component"|"C"|""|""|""|""|""
"Burn Elemental"|"Red"|"2RRRR"|""|"Rush. ATK 2"|"Summon"|"Elemental Flame"|"R"|""|""|""|""|""
"Declawed Familiar"|"Green"|"1G"|""|"Extra Strike 2"|"Summon"|"Familiar Cat"|"G"|""|""|""|""|""
"Charismatic Preacher"|"Black"|"2BB"|""|"[End of Main] Recruit minion."|"Summon"|"Freako"|"B"|""|""|""|""|""
"Eager Beaver"|"Green"|"1GG"|""|"ATK X: X is equal to the highest attack of a summon you control."|"Summon"|"Famliar Beaver"|"G"|""|""|""|""|""
"Sense Duller"|"Blue"|"2UU"|""|"Cards cost 1 more to cast."|"Summon"|"Geist"|"U"|""|""|""|""|""
"Make Mill Viable Summon"|"Blue"|"2UU"|""|"Whenever you deal damage to an opponent, that player aetherizes thrice that many cards from their deck."|"Summon"|"Geist"|"U"|""|""|""|""|""
"Wise Owl"|"Blue"|"2U"|""|"Whenever you draw your third, sixth, or ninth card on your turn this gets +1ATK until the next turn."|"Summon"|"Familiar Owl"|"U"|""|""|""|""|""
"Generous Iguana"|"Green"|"1GG"|""|"[Each Turn][Main] The active player adds GG."|"Summon"|"Familiar Lizard"|"G"|""|""|""|""|""
"Flame Poker"|"Red"|"1RR"|""|"Whenever another source you control deals damage, this summon deals 1 damage to whatever was damaged."|"Summon"|"Familiar Imp"|"R"|""|""|""|""|""
"Abrasive Swarm"|"Red"|"1R"|""|"At the beginning of each turn, deal 1 damage to each player"|"Summon"|"Familiar Insect Insect Insect Insect Insect"|"R"|""|""|""|""|""
"Hungry Silkworm"|"White"|"2WW"|""|"Whenever your opponent draws one or more cards, you gain two life."|"Summon"|"Familiar Arthropod"|"W"|""|""|""|""|""
"Tempermental Spout"|"Red"|"RR"|""|"ATK1. Sacrifice this summon: Deal 2 damage"|"Summon"|"Elemental Zap"|"R"|""|""|""|""|""
"Tantrumming Cloud"|"Red"|"R"|""|"ATK1. [Expend] Return this to the battlefield, it's fragile."|"Summon"|"Elemental Zap"|"!"|""|""|""|""|""
"Manamoeba"|"Green"|"GG"|""|"ATK1. Whenever you discard this card, put it onto the arena instead."|"Summon"|"Arcane Pest"|"GG"|""|""|""|""|""
"Disembodied Eye"|"Blue"|"1U"|""|"ATK1. [Alternate Attack] Scry 1"|"Summon"|"Eye"|"U"|""|""|""|""|""
"Incrementer"|"Red"|"1RR"|""|"Sources you control deal an additional 1 damage to your opponent"|"Summon"|""|"R"|""|""|""|""|""
"Aggressive Incrementer"|"Red"|"3RRRR"|""|"Rush. ATK1, Additional Strike 1. Sources you control deal an additional 1 damage to your opponent"|"Summon"|""|"R"|""|""|""|""|""
"Constructing Serpent"|"Green"|"2GG"|""|"[When you restock] Put a +ATK on this."|"Summon"|"Familiar Snake"|"G"|""|""|""|""|""
"Voracious Pig"|"Green"|"XXG"|""|"This enters with X +ATK counters."|"Summon"|"Familiar Hog"|"G"|""|""|""|""|""
"Tower"|"Colorless"|"3"|""|"ATK 1"|"Summon Construct"|""|"C"|"1"|""|""|""|""
"Big Stocker"|"Green"|"2GGG"|""|"Restock an additional time during your restock phase."|"Summon Construct"|""|"G"|""|""|""|""|""
"Mana Burst"|"Red"|"RR"|""|"Fragile. Add 4 mana of any color."|""|""|"R"|""|""|""|""|""
"Elemental Golem"|"Red"|"1RRR"|""|"ATK X: X is equal to your Resonance"|"Summon Construct"|"Golem"|"R"|""|""|""|""|""
"Elemental Storm"|"Red"|"1RRRR"|""|"[On cast] copy this a number of times equal to your resonance. Deal 2 damage. "|"Quick Spell"|"Zap"|"R"|""|""|""|""|""
"Swords to Plowshares"|"Green"|"1GGG"|""|"Summons you control have ""[Alternate Attack] Draw one card."""|"Construct"|""|"G"|""|""|""|""|""
"Sandstorm"|"Green"|"2GG"|""|"Whenever a player casts a spell, deal 1 damage to them."|"Construct"|"Earth"|"G"|""|""|""|""|""
"Vein Rupture"|"White"|"1W"|""|"Deal damage to each player equal to cards in their storage."|"Spell"|"Life"|"W"|""|""|""|""|""
"Magic of Costs"|"W/B"|"1WB"|""|"Choose one: - Deal 2 damage to yourself, recruit 2 Minions. OR - sacrifice a summon, if you did gain 6 life"|"Spell"|"Life"|"B"|""|""|""|""|""
"Freeze"|"R"|"2RR"|""|"Deal 2 damage. Players dealt damage this way skip their next restock"|"Spell"|"Frost"|"R"|""|""|""|""|""
"Forest Guide"|"Green"|"1GGG"|""|"ATK2. [Your turn][Once per turn] Look at the top to cards of your deck. You may discard a card to put one into your hand. Put the other cards on the bottom in any order."|"Summon"|"Minion"|"G"|""|""|""|""|""
"Erosion"|"Green"|"GG"|""|"[Main Phase] Both players aetherize the top four cards of their decks. You may aetherize a card from your hand to put a card from among the cards you aetherized this way into your hand."|"Construct"|"Earth"|"G"|""|""|""|""|""
"Reckless Protection"|"White"|"1W"|""|"Deal 3 self damage. Prevented target card from being countered or permanent from being destroyed this turn. "|"Quick Spell"|"Life"|"W"|""|""|""|""|""
"Purifying Spring"|"Colorless"|"2"|""|"[Once Per Turn] Target card in your storage gains ""[Expend] O"". Expend this construct to the bottom of your deck isntead of aetherizing it."|"Construct"|"Arcane"|"O"|""|""|""|""|""
